month,dayofmonth,hourofday,hour,mwh2123,mwh2120,mwh2137,mwh2059,mwh2141,mwh2142,mwh2129,mwh2158,mwh2130,mwh2146,mth2123,mth2120,mth2137,mth2059,mth2141,mth2142,mth2129,mth2158,mth2130,mth2146
6,25,22,23,14.97515833,15.56660833,16.2126,15.31171667,13.59481667,13.44209167,14.70419167,16.28895833,14.15813333,15.7935,35.81666667,36.16666667,35.77916667,36.01083333,35.66583333,35.54333333,35.93,36.05083333,35.90666667,35.88
6,25,23,24,14.96371667,15.56328333,16.199825,15.29656667,13.58946667,13.43443333,14.69019167,16.2783,14.153725,15.79093333,35.93666667,36.13666667,35.8025,36.02333333,35.76916667,35.47083333,35.88666667,35.96583333,35.91416667,35.84416667
6,26,0,25,14.95346667,15.5549,16.18905,15.28184167,13.58655,13.428525,14.67844167,16.26863333,14.15024167,15.78574167,36.31333333,36.47416667,35.95083333,36.49833333,35.865,35.77916667,35.85083333,36.02,35.88583333,35.96833333
6,26,1,26,14.94036667,15.54616667,16.176575,15.26758333,13.58290833,13.42194167,14.66573333,16.2591,14.14704167,15.78394167,36.04166667,36.155,35.97083333,36.12666667,35.9,35.64666667,36.03083333,36.1375,36.0475,36.07333333
6,26,2,27,14.93044167,15.54050833,16.1701,15.25678333,13.58103333,13.417575,14.654925,16.25236667,14.14373333,15.78024167,35.86083333,36.10833333,35.81666667,35.8575,35.68,35.28166667,35.74,35.92833333,36.015,35.80416667
6,26,3,28,14.92495833,15.53410833,16.16221667,15.24753333,13.5792,13.41314167,14.64725833,16.24493333,14.143825,15.77105,35.71166667,36.02916667,35.655,35.69083333,35.65916667,35.355,35.62833333,35.89833333,35.87833333,35.68916667
6,26,4,29,14.9182,15.52670833,16.15386667,15.23613333,13.57635833,13.407875,14.638625,16.24005833,14.1439,15.74091667,35.67916667,36.14833333,35.71166667,35.81083333,35.78166667,35.595,35.73583333,36.01333333,35.88833333,35.755
6,26,5,30,14.89813333,15.46020833,16.12166667,15.16070833,13.56276667,13.33215,14.562275,16.160275,14.13803333,15.62378333,35.72583333,36.11,35.755,35.90583333,35.75083333,35.65666667,35.75083333,36.04916667,35.80333333,35.76166667
6,26,6,31,14.899275,15.50248333,16.10105,15.12235833,13.57615,13.37235833,14.55580833,16.220025,14.14514167,15.71150833,35.75416667,36.0725,35.71,35.78666667,35.77,35.69666667,35.82333333,36.02916667,35.83333333,35.88833333
6,26,7,32,14.9039,15.54238333,16.122375,15.17381667,13.58266667,13.42284167,14.59781667,16.2648,14.14828333,15.75978333,35.81666667,36.22833333,35.77416667,35.74833333,35.81,35.72833333,35.875,36.0675,35.84666667,35.95333333
6,26,8,33,14.91011667,15.55660833,16.13815833,15.200625,13.58383333,13.43883333,14.63658333,16.28475833,14.15183333,15.76291667,35.88416667,36.235,35.79,35.7575,35.76166667,35.77833333,35.92333333,36.16416667,35.82333333,35.9575
